Primary Sequence Name,Sequence Description,Accession Number,Affy Probe ID,Gene Symbol,Correlation Coefficient to Layer 2 High template
LOC704242,"cytochrome P450, family 39, subfamily A, polypeptide 1",XM_001102611,MmugDNA.13671.1.S1_s_at,CYP39A1,0.558280402
MmugDNA.1248.1.S1_at,gDNA.Hs.50162.0.A1  FEA=U133PSR  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 235074_at  REP_ORG=M. mulatta,CN802660,MmugDNA.1248.1.S1_at,,0.558207872
MmugDNA.14422.1.S1_at,gDNA.Hs.140833.0.S1  FEA=U133PSR  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 214896_at MRNA full length insert cDNA clone EUROIMAGE 29222  REP_ORG=M. mulatta,gDNA.Hs.140833.0,MmugDNA.14422.1.S1_at,,0.558109529
MmugDNA.11299.1.S1_at,gDNA.Hs.202508.0.A1  FEA=U133PSR  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 243438_at  REP_ORG=M. mulatta,gDNA.Hs.202508.0,MmugDNA.11299.1.S1_at,,0.558060731
WSB1,WD repeat and SOCS box-containing 1,XM_001105132,MmugDNA.31902.1.S1_at,,0.55801513
LOC700219,Similar to C17G10.1,CN643737,Mmu.13110.1.S1_s_at,,0.557952353
MmugDNA.27680.1.S1_at,gDNA.Hs.241334.0.A2  FEA=U133PSR  GEN=LOC286334  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 226590_at hypothetical protein LOC286334  REP_ORG=M. mulatta,gDNA.Hs.241334.0,MmugDNA.27680.1.S1_at,LOC286334,0.557716449
BICD2,bicaudal D homolog 2 (Drosophila),XM_001103849,MmugDNA.39138.1.S1_at,BICD2,0.557382717
SLMAP,sarcolemma associated protein,XM_001098312,MmugDNA.3983.1.S1_at,SLMAP,0.556950439
FAM13A,"family with sequence similarity 13, member A",XM_001101062,MmugDNA.4259.1.S1_at,FAM13A,0.556807762
PALLD,"palladin, cytoskeletal associated protein",XM_001082273,MmugDNA.40842.1.S1_at,PALLD,0.556753776
MmugDNA.40929.1.S1_at,gDNA.Hs.298258.0.A1  FEA=U133PSR  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 227623_at MRNA; cDNA DKFZp313C0240 (from clone DKFZp313C0240)  REP_ORG=M. mulatta,gDNA.Hs.298258.0,MmugDNA.40929.1.S1_at,,0.556337366
SERPINE2,gb:CB549699  DB_XREF=gi:31298894  DB_XREF=MMPL0015_A04  TID=MmuAffx.23.8  CNT=5  FEA=EST  TIER=ConsEnd  STK=0  NOTE=sequence(s) not in UniGene  REP_ORG=M. mulatta,CB549329,MmuAffx.23.8.S1_s_at,,0.555687277
CDC5L,CDC5 cell division cycle 5-like (S. pombe),XM_001100220,MmugDNA.33156.1.S1_at,CDC5L,0.555623545
PALLD,"palladin, cytoskeletal associated protein",XM_001082273,MmugDNA.40841.1.S1_at,PALLD,0.55554779
SEZ6L,seizure related 6 homolog (mouse)-like,XM_001104921,MmugDNA.25249.1.S1_s_at,SEZ6L,0.555182739
LOC722338,"similar to WAP, follistatin/kazal, immunoglobulin, kunitz and netrin domain containing 1 precursor",XM_001118498,MmugDNA.11338.1.S1_at,WFIKKN1,0.555075521
MmugDNA.3358.1.S1_at,gDNA.Hs.324696.0.A1  FEA=U133PSR  GEN=USP37  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 232033_at ubiquitin specific protease 37  REP_ORG=M. mulatta,gDNA.Hs.324696.0,MmugDNA.3358.1.S1_at,USP37,0.553357061
LOC706363,similar to SPOC domain containing 1,XR_012451,MmugDNA.14455.1.S1_at,SPOCD1,0.553051811
LOC705358,similar to PDZ and LIM domain 5 isoform a,XM_001102789,MmugDNA.31471.1.S1_at,PDLIM5,0.552928118
CUGBP1,"CUG triplet repeat, RNA binding protein 1",XM_001106106,MmugDNA.30225.1.S1_at,CUGBP1,0.552692611
SP5,Sp5 transcription factor,XM_001082704,MmugDNA.23474.1.S1_at,SP5,0.552453743
LOC700538,"similar to phosphatidylinositol-4-phosphate 5-kinase, type I, beta isoform 2",XM_001088891,MmugDNA.2255.1.S1_at,PIP5K1B,0.552432765
POLD2,"polymerase (DNA directed), delta 2, regulatory subunit",XM_001094281,MmugDNA.21543.1.S1_at,POLD2,0.552388042
LOC717174,similar to 1-acylglycerol-3-phosphate O-acyltransferase 1,XM_001114692,MmugDNA.18032.1.S1_at,AGPAT1,0.552280257
MmugDNA.38421.1.S1_at,gDNA.Hs.8087.2.S1  FEA=U133PSR  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 226959_at  REP_ORG=M. mulatta,gDNA.Hs.8087.2,MmugDNA.38421.1.S1_at,,0.551495901
RBBP7,retinoblastoma binding protein 7,XM_001103800,MmuSTS.2344.1.S1_at,RBBP7,0.551492314
MmuSTS.3497.1.S1_at,"gi:60543145  DEF=APEG1_9084 Rhesus macaque genomic DNA Macaca mulatta STS genomic clone MMA9084, sequence tagged site  REP_ORG=M. mulatta",60543145,MmuSTS.3497.1.S1_at,APEG1,0.551235232
MmuSTS.2768.1.S1_at,"gi:47776363  DEF=ADRB2_1263 Rhesus macaque genomic DNA Macaca mulatta STS genomic clone MMA1263, sequence tagged site.  GEN=ADRB2  PROD=adrenergic, beta-2-, receptor  REP_ORG=M. mulatta",47776363,MmuSTS.2768.1.S1_at,ADRB2,0.551090875
MmugDNA.15445.1.S1_at,gDNA.g9910205  FEA=U133PSR  GEN=C14orf132  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 218820_at chromosome 14 open reading frame 132  REP_ORG=M. mulatta,gDNA,MmugDNA.15445.1.S1_at,C14orf132,0.550768376
LOC714887,"similar to F-box and WD-40 domain protein 7, archipelago homolog",XR_013084,MmugDNA.4886.1.S1_at,LOC349136,0.550602721
LOC704423,similar to DNA-damage inducible protein 2,XM_001099820,MmugDNA.32515.1.S1_at,,0.55033911
LOC714869,similar to B-cell lymphoma/leukemia 10,XM_001104846,MmugDNA.3082.1.S1_at,BCL10,0.549915329
LOC706437,hypothetical protein LOC706437,XR_011572,MmugDNA.15704.1.S1_s_at,JARID1B,0.549897562
HOOK1,hook homolog 1,XM_001082586,MmugDNA.43380.1.S1_at,HOOK1,0.549652332
DDX54,DEAD (Asp-Glu-Ala-Asp) box polypeptide 54,XM_001111246,MmugDNA.30953.1.S1_at,DDX54,0.549289907
LOC717827,similar to Growth-arrest-specific protein 7 (GAS-7),XM_001113621,MmugDNA.39502.1.S1_at,GAS7,0.549103202
MmugDNA.30944.1.S1_at,gDNA.Hs.175048.0.A1  FEA=U133PSR  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 242931_at Transcribed locus  REP_ORG=M. mulatta,gDNA.Hs.175048.0,MmugDNA.30944.1.S1_at,,0.548912389
MmuSTS.1171.1.S1_at,"gi:52626908  DEF=CLIC6_4585 Rhesus macaque genomic DNA Macaca mulatta STS genomic clone MMA4585, sequence tagged site.  GEN=CLIC6  PROD=chloride intracellular channel 6  REP_ORG=M. mulatta",52626908,MmuSTS.1171.1.S1_at,CLIC6,0.54874282
MmugDNA.1963.1.S1_at,gDNA.Hs.113418.0.A1  FEA=U133PSR  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 236045_x_at LOC441801  REP_ORG=M. mulatta,gDNA.Hs.113418.0,MmugDNA.1963.1.S1_at,,0.548451762
PIAS1,"protein inhibitor of activated STAT, 1",XM_001082929,MmugDNA.22042.1.S1_at,PIAS1,0.548284583
DIAPH1,diaphanous homolog 1 (Drosophila),XM_001089232,MmuSTS.1304.1.S1_at,DIAPH1,0.548211749
LOC696882,similar to zinc finger RNA binding protein,XR_010467,MmugDNA.4692.1.S1_at,ZFR,0.548200589
TMEM17,transmembrane protein 17,XM_001083080,MmugDNA.4201.1.S1_at,TMEM17,0.547671541
MmugDNA.3674.1.S1_s_at,gDNA.Hs.107979.0.S1  FEA=U133PSR  GEN=SMP1  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 222401_s_at small membrane protein 1  REP_ORG=M. mulatta,CK232126,MmugDNA.3674.1.S1_s_at,SMP1,0.54713446
MmugDNA.8481.1.S1_at,gDNA.Hs.17778.2.A1  FEA=U133PSR  GEN=NRP2  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 225566_at neuropilin 2  REP_ORG=M. mulatta,gDNA.Hs.17778.2,MmugDNA.8481.1.S1_at,NRP2,0.547047646
ENC1,ectodermal-neural cortex (with BTB-like domain),XM_001103216,MmugDNA.30393.1.S1_at,ENC1,0.54702722
LOC714534,similar to kin of IRRE like 3,XR_014110,MmunewRS.265.1.S1_at,,0.546953224
DUSP16,dual specificity phosphatase 16,XM_001084619,MmugDNA.23500.1.S1_at,DUSP16,0.546774072
MmugDNA.40887.1.S1_at,"gDNA.Hs.21380.0.S1  FEA=U133PSR  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 225996_at CDNA FLJ36725 fis, clone UTERU2012230  REP_ORG=M. mulatta",gDNA.Hs.21380.0,MmugDNA.40887.1.S1_at,,0.546757678
Mmu.3276.1.S1_at,gb:CN646424  DB_XREF=gi:47159867  DB_XREF=ILLUMIGEN_MCQ_26175  CLONE=IBIUW:8596  TID=Mmu.3276.1  CNT=2  FEA=EST  TIER=ConsEnd  STK=2  NOTE=sequence(s) clustered along genome  REP_ORG=M. mulatta,CN646424,Mmu.3276.1.S1_at,,0.546719686
MmugDNA.18663.1.S1_at,gDNA.Hs.110373.0.S1  FEA=U133PSR  GEN=SLIT2  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 228850_s_at Slit homolog 2 (Drosophila)  REP_ORG=M. mulatta,gDNA.Hs.110373.0,MmugDNA.18663.1.S1_at,SLIT2,0.546542317
SERPINE2,"serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 2",XM_001108884,MmuSTS.4328.1.S1_x_at,,0.546448462
LOC713700,similar to zinc finger protein 395,XM_001110555,MmugDNA.2884.1.S1_at,ZNF395,0.546426023
GRIN2B,"glutamate receptor, ionotropic, N-methyl D-aspartate 2B",XM_001088140,MmugDNA.22617.1.S1_at,GRIN2B,0.546411259
LOC693440,"similar to cadherin 12, type 2 preproprotein",XM_001082276,MmuSTS.3382.1.S1_at,CDH12,0.545820438
MmugDNA.42468.1.S1_at,"gDNA.Hs.22675.0.S1  FEA=U133PSR  GEN=KCNS2  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 232401_at potassium voltage-gated channel, delayed-rectifier, subfamily S, member 2  REP_ORG=M. mulatta",gDNA.Hs.22675.0,MmugDNA.42468.1.S1_at,KCNS2,0.545602274
MmuSTS.3782.1.S1_at,"gi:55167471  DEF=ACY1L2 _4250 Rhesus macaque genomic DNA Macaca mulatta STS genomic clone MMA4250, sequence tagged site.  GEN=ACY1L2  PROD=aminoacylase 1-like 2  REP_ORG=M. mulatta",55167471,MmuSTS.3782.1.S1_at,ACY1L2,0.545413056
MmugDNA.28251.1.S1_at,gDNA.Hs.237146.0.S2  FEA=U133PSR  GEN=ZBTB10  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 222863_at zinc finger and BTB domain containing 10  REP_ORG=M. mulatta,gDNA.Hs.237146.0,MmugDNA.28251.1.S1_at,ZBTB10,0.545324498
LOC709404,similar to Transmembrane protein 46 precursor,XM_001093015,MmugDNA.19043.1.S1_at,LOC387914,0.545089528
LSM3,"LSM3 homolog, U6 small nuclear RNA associated (S. cerevisiae)",XM_001092186,MmugDNA.17533.1.S1_at,LSM3,0.545079347
MmugDNA.30303.1.S1_at,"gDNA.g13376014  FEA=U133PSR  GEN=RHOF  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 219154_at Ras homolog gene family, member F (in filopodia)  REP_ORG=M. mulatta",gDNA,MmugDNA.30303.1.S1_at,RHOF,0.54495913
PRICKLE1,prickle-like 1,XR_010945,MmuSTS.138.1.S1_at,PRICKLE1,0.544932549
AKR1C1,"aldo-keto reductase family 1, member C1",XM_001103624,MmugDNA.18446.1.S1_s_at,AKR1C2,0.544922475
CDO1,"cysteine dioxygenase, type I",XM_001085951,MmugDNA.15062.1.S1_at,CDO1,0.544836823
PPP3CA,gb:CN646788  DB_XREF=gi:47160231  DB_XREF=ILLUMIGEN_MCQ_27104  CLONE=IBIUW:8245  TID=Mmu.8048.1  CNT=3  FEA=EST  TIER=ConsEnd  STK=0  NOTE=sequence(s) clustered along genome  REP_ORG=M. mulatta,CN646788,Mmu.8048.1.S1_at,PPP3CA,0.544436084
LOC707018,gDNA.Hs.159528.0.S1  FEA=U133PSR  GEN=C2orf10  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 215767_at chromosome 2 open reading frame 10  REP_ORG=M. mulatta,NP_919226,MmugDNA.25229.1.S1_at,C2orf10,0.543724312
LOC712374,similar to CG14535-PA,XR_012620,MmugDNA.3713.1.S1_at,FLJ10157,0.543699379
MmugDNA.35629.1.S1_at,"gDNA.g4503196  FEA=U133PSR  GEN=CYP19A1  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 203475_at cytochrome P450, family 19, subfamily A, polypeptide 1  REP_ORG=M. mulatta",CN643541,MmugDNA.35629.1.S1_at,CYP19A1,0.54350079
AKAP5,A kinase (PRKA) anchor protein 5,XM_001101989,MmuSTS.445.1.S1_at,AKAP5,0.543038839
LOC697179,similar to synapse-associated protein 102,XM_001085782,MmugDNA.27181.1.S1_at,DLG3,0.542516216
MmugDNA.25426.1.S1_at,"gDNA.Hs.154145.1.A1  FEA=U133PSR  GEN=GNAL  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 214071_at guanine nucleotide binding protein (G protein), alpha activating activity polypeptide, olfactory type  REP_ORG=M. mulatta",gDNA.Hs.154145.1,MmugDNA.25426.1.S1_at,GNAL,0.54220121
LOC695017,"similar to myosin, heavy polypeptide 9, non-muscle",XM_001083662,MmuSTS.1931.1.S1_at,MYH9,0.542144001
LOC707075,similar to Growth factor receptor-bound protein 14 (GRB14 adapter protein),XR_011673,MmugDNA.27763.1.S1_at,GRB14,0.541952925
CTPS,CTP synthase,XM_001084608,MmuSTS.4408.1.S1_at,CTPS,0.541838705
MmugDNA.13003.1.S1_at,gDNA.Hs.26690.0.A1  FEA=U133PSR  GEN=NSE1  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 229546_at NSE1  REP_ORG=M. mulatta,gDNA.Hs.26690.0,MmugDNA.13003.1.S1_at,NSE1,0.541805249
FRZB,frizzled-related protein,XM_001102583,MmugDNA.36035.1.S1_s_at,FRZB,0.541778913
LOC708866,similar to zinc finger protein 618,XM_001097368,MmuSTS.2496.1.S1_at,ZNF618,0.541378189
LOC708067,similar to SERTA domain containing 4,XM_001096508,MmugDNA.29339.1.S1_at,LOC401778,0.541335623
MmugDNA.4585.1.S1_at,gDNA.Hs.192986.0.S1  FEA=U133PSR  GEN=PVRL3  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 241970_at Poliovirus receptor-related 3  REP_ORG=M. mulatta,gDNA.Hs.192986.0,MmugDNA.4585.1.S1_at,PVRL3,0.541239125
LOC719363,similar to zinc finger protein 110,XR_014162,MmugDNA.13103.1.S1_at,FLJ37549,0.541142436
ZNF148,zinc finger protein 148,XM_001114032,MmuSTS.4724.1.S1_at,ZNF148,0.541072763
TMPO,thymopoietin,XM_001082220,MmugDNA.3904.1.S1_at,TMPO,0.540930863
MmugDNA.23698.1.S1_a_at,gDNA.Hs2.134065.1.S1  FEA=U133PSR  GEN=DKFZp761H2121  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 1553864_at hypothetical protein DKFZp761H2121  REP_ORG=M. mulatta,XP_001714526,MmugDNA.23698.1.S1_a_at,DKFZp761H2121,0.540843471
FYN,"FYN oncogene related to SRC, FGR, YES",XM_001085015,MmugDNA.42662.1.S1_at,FYN,0.540709436
MmugDNA.22923.1.S1_at,gDNA.Hs.9587.0.S1  FEA=U133PSR  GEN=KIAA2002  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 225913_at KIAA2002 protein  REP_ORG=M. mulatta,EG704093,MmugDNA.22923.1.S1_at,KIAA2002,0.540558538
GALNTL4,UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase-like 4,XM_001098994,MmugDNA.7129.1.S1_at,GALNTL4,0.540370008
LOC713471,similar to myosin heavy chain 6,XM_001102827,MmugDNA.21234.1.S1_at,MYH7,0.54032724
ARPC2,"actin related protein 2/3 complex, subunit 2, 34kDa",XM_001088889,MmugDNA.30021.1.S1_at,ARPC2,0.540280782
MmuSTS.3537.1.S1_at,"gi:49533401  DEF=PACE4_1021 Rhesus macaque genomic DNA Macaca mulatta STS genomic clone MMA1021, sequence tagged site.  GEN=PACE4  PROD=paired basic amino acid cleaving system 4  REP_ORG=M. mulatta",CN802608,MmuSTS.3537.1.S1_at,PACE4,0.540271015
GPR19,G protein-coupled receptor 19,XM_001085321,MmugDNA.19342.1.S1_at,GPR19,0.54016629
LOC719556,similar to Protein C6orf64,XM_001117110,MmugDNA.25259.1.S1_at,C6orf64,0.540118073
MmugDNA.3461.1.S1_at,gDNA.Hs.152618.0.A1  FEA=U133PSR  GEN=MGC14289  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 228280_at similar to RIKEN cDNA 1200014N16 gene  REP_ORG=M. mulatta,gDNA.Hs.152618.0,MmugDNA.3461.1.S1_at,MGC14289,0.539969093
MmugDNA.13909.1.S1_at,"gDNA.Hs.117800.0.S1  FEA=U133PSR  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 241600_at Transcribed locus, moderately similar to XP_498452.1 hypothetical gene supported by NM_173697 [Homo sapiens]  REP_ORG=M. mulatta",gDNA.Hs.117800.0,MmugDNA.13909.1.S1_at,,0.539918292
ALDH1A2,"aldehyde dehydrogenase 1 family, member A2",XM_001090504,MmuSTS.3434.1.S1_at,ALDH1A2,0.538983488
LOC704597,similar to sperm specific antigen 2,XM_001092963,MmugDNA.20093.1.S1_at,KIAA0748,0.538936728
MmugDNA.35053.1.S1_at,"gDNA.g12545403  FEA=U133PSR  GEN=ICAM5  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 206906_at intercellular adhesion molecule 5, telencephalin  REP_ORG=M. mulatta",NP_003250,MmugDNA.35053.1.S1_at,ICAM5,0.538546574
LOC709596,"similar to SPFH domain family, member 1",XM_001107354,MmugDNA.6793.1.S1_at,SPFH1,0.538422958
LOC712787,similar to PTK2B protein tyrosine kinase 2 beta isoform a,XM_001109177,MmugDNA.31423.1.S1_at,PTK2B,0.538129563
LOC704352,similar to Cortexin-1,XM_001098120,MmugDNA.31616.1.S1_at,,0.538073779
MmugDNA.40542.1.S1_at,gDNA.Hs2.67709.1.S1  FEA=U133PSR  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 1566766_a_at MRNA full length insert cDNA clone EUROIMAGE 2344436  REP_ORG=M. mulatta,gDNA.Hs2.67709.1,MmugDNA.40542.1.S1_at,,0.538032715
LOC716408,similar to U2-associated SR140 protein,XM_001107114,MmugDNA.23239.1.S1_at,SR140,0.537962037
MmugDNA.29943.1.S1_at,gDNA.Hs.8077.0.S1  FEA=U133PSR  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 213904_at Clone 23555 mRNA sequence  REP_ORG=M. mulatta,gDNA.Hs.8077.0,MmugDNA.29943.1.S1_at,,0.537374243
AKR1C1,"aldo-keto reductase family 1, member C1",XM_001103624,MmugDNA.21919.1.S1_s_at,AKR1C2,0.537063532
SORBS2,sorbin and SH3 domain containing 2,XM_001088514,MmugDNA.877.1.S1_at,SORBS2,0.537015435
MmugDNA.39800.1.S1_at,gDNA.Hs.136280.0.S1  FEA=U133PSR  GEN=KLF16  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 226328_at Kruppel-like factor 16  REP_ORG=M. mulatta,XP_002636790,MmugDNA.39800.1.S1_at,KLF16,0.536962085
SOX6,SRY (sex determining region Y)-box 6,XM_001090651,MmugDNA.26900.1.S1_at,,0.536728847
LOC705302,similar to calcium/calmodulin-dependent protein kinase II inhibitor 1,XM_001095951,MmugDNA.8048.1.S1_at,CaMKIINalpha,0.536706684
SLC32A1,"solute carrier family 32 (GABA vesicular transporter), member 1",XM_001089139,MmugDNA.30515.1.S1_at,SLC32A1,0.536692153
SEC14L1,SEC14-like 1 (S. cerevisiae),XM_001107018,MmugDNA.27385.1.S1_at,SEC14L1,0.536218961
CD46,"CD46 molecule, complement regulatory protein",XM_001111617,MmuSTS.1501.1.S1_at,,0.535862735
TMEM132A,similar to CG14446-PA,XM_001103750,MmugDNA.38081.1.S1_at,TMEM132A,0.535754376
LOC714677,gb:CB311005  DB_XREF=gi:28833719  DB_XREF=AGENCOURT_11616820  CLONE=IMAGE:6915517  TID=MmuAffx.161.1  CNT=2  FEA=EST  TIER=ConsEnd  STK=0  NOTE=sequence(s) not in UniGene  REP_ORG=M. mulatta,CB311005,MmuAffx.161.1.S1_at,,0.535719217
PAM,peptidylglycine alpha-amidating monooxygenase,XM_001096156,MmugDNA.3986.1.S1_at,PAM,0.535595044
SDCBP2,syndecan binding protein (syntenin) 2,XM_001112910,MmugDNA.8088.1.S1_at,SDCBP2,0.535131318
GABRA2,"gamma-aminobutyric acid (GABA) A receptor, alpha 2",XM_001101060,MmuSTS.4812.1.S1_at,GABRA2,0.535049249
UBASH3B,"ubiquitin associated and SH3 domain containing, B",XM_001107573,MmugDNA.939.1.S1_at,UBASH3B,0.534989624
NFIB,nuclear factor I/B,XM_001111136,MmugDNA.22444.1.S1_at,NFIB,0.53407161
MmugDNA.27778.1.S1_s_at,gDNA.Hs.288971.0.A3  FEA=U133PSR  GEN=MLL3  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 222414_at myeloid lymphoid or mixed-lineage leukemia 3  REP_ORG=M. mulatta,gDNA.Hs.288971.0,MmugDNA.27778.1.S1_s_at,MLL3,0.533983522
KATNB1,katanin p80 (WD repeat containing) subunit B 1,XM_001100717,MmugDNA.32208.1.S1_at,KATNB1,0.533904391
CA8,carbonic anhydrase VIII,XM_001088977,MmugDNA.8384.1.S1_at,CA8,0.53373002
ITGA6,gb:BM423033  DB_XREF=gi:18392527  DB_XREF=PLATE1_C06  TID=Mmu.4039.1  CNT=2  FEA=EST  TIER=ConsEnd  STK=0  NOTE=sequence(s) clustered along genome  REP_ORG=M. mulatta,BM423033,Mmu.4039.1.S1_at,ITGA6,0.533276642
SERPINE2,gb:CN803911  DB_XREF=gi:47699887  DB_XREF=ILLUMIGEN_MCQ_33911  CLONE=IBIUW:11226  TID=Mmu.11820.13  CNT=2  FEA=EST  TIER=ConsEnd  STK=0  NOTE=sequence(s) clustered along genome  REP_ORG=M. mulatta,CN803911,Mmu.11820.13.S1_a_at,,0.533272863
GSG1L,GSG1-like,XM_001101867,MmugDNA.5726.1.S1_at,GSG1L,0.532846283
ZNF148,zinc finger protein 148,XM_001114032,MmugDNA.10178.1.S1_at,ZNF148,0.532686858
MmugDNA.11189.1.S1_at,gDNA.g13623628  FEA=U133PSR  GEN=FLJ12748  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 221713_s_at hypothetical protein FLJ12748     hypothetical protein FLJ12748  REP_ORG=M. mulatta,gDNA,MmugDNA.11189.1.S1_at,FLJ12748,0.532360444
RGS6,regulator of G-protein signaling 6,XM_001084681,MmuSTS.3137.1.S1_at,RGS6,0.532344566
LOC706980,"gi:49533091  DEF=CAV2_2353 Rhesus macaque genomic DNA Macaca mulatta STS genomic clone MMA2353, sequence tagged site.  GEN=CAV2  PROD=caveolin 2  REP_ORG=M. mulatta",NM_001168619,MmuSTS.1414.1.S1_at,CAV2,0.531897444
MmugDNA.28205.1.S1_at,"gDNA.Hs.31141.0.S2  FEA=U133PSR  GEN=ROBO2  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 226766_at roundabout, axon guidance receptor, homolog 2 (Drosophila)  REP_ORG=M. mulatta",gDNA.Hs.31141.0,MmugDNA.28205.1.S1_at,ROBO2,0.531787164
MmugDNA.30377.1.S1_at,gDNA.Hs.8841.0.A1  FEA=U133PSR  GEN=HTPAP  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 226384_at HTPAP protein  REP_ORG=M. mulatta,gDNA.Hs.8841.0,MmugDNA.30377.1.S1_at,HTPAP,0.531652334
GLT8D2,glycosyltransferase 8 domain containing 2,XM_001095737,MmugDNA.1800.1.S1_at,GLT8D2,0.531227745
SUB1,SUB1 homolog (S. cerevisiae),XM_001089347,MmugDNA.24127.1.S1_at,PC4,0.5308496
MmugDNA.34264.1.S1_at,gDNA.Hs.6774.0.A1  FEA=U133PSR  GEN=CDC42EP3  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 225685_at CDC42 effector protein (Rho GTPase binding) 3  REP_ORG=M. mulatta,gDNA.Hs.6774.0,MmugDNA.34264.1.S1_at,CDC42EP3,0.530342359
CRYBG3,beta-gamma crystallin domain containing 3,XM_001086806,MmugDNA.1233.1.S1_at,CRYBG3,0.530221027
RILPL2,Rab interacting lysosomal protein-like 2,XM_001101022,MmuSTS.245.1.S1_at,RILPL2,0.529901091
LOC709327,similar to ankyrin repeat domain 50,XM_001104758,MmugDNA.11320.1.S1_at,KIAA1223,0.529859835
MmugDNA.24579.1.S1_at,"gDNA.Hs.234392.2.A1  FEA=U133PSR  GEN=SERPINB1  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 228726_at Serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 1  REP_ORG=M. mulatta",gDNA.Hs.234392.2,MmugDNA.24579.1.S1_at,SERPINB1,0.529491739
MmuSTS.2860.1.S1_at,"gi:51854149  DEF=SPARC_1369 Rhesus macaque genomic DNA Macaca mulatta STS genomic clone MMA1369, sequence tagged site.  GEN=SPARC  PROD=secreted protein, acidic, cysteine-rich  REP_ORG=M. mulatta",CB549281,MmuSTS.2860.1.S1_at,SPARC,0.529433131
MmugDNA.37994.1.S1_at,gDNA.Hs.130313.0.A1  FEA=U133PSR  NOTE=Orthologous to HG-U133 Plus 2.0 target region  DEF=Orthologous to 239572_at Transcribed locus  REP_ORG=M. mulatta,gDNA.Hs.130313.0,MmugDNA.37994.1.S1_at,,0.52911115
LOC705561,similar to ubiquitin-conjugating enzyme E2L 6 isoform 1,XR_012726,MmugDNA.7052.1.S1_at,UBE2L6,0.528504978
MAST3,microtubule associated serine/threonine kinase 3,XM_001115216,MmuSTS.117.1.S1_at,MAST3,0.528034716
Mmu.4707.1.S1_at,gb:CB309994  DB_XREF=gi:28832704  DB_XREF=AGENCOURT_11829556  CLONE=IMAGE:6913785  TID=Mmu.4707.1  CNT=1  FEA=EST  TIER=ConsEnd  STK=1  NOTE=sequence(s) clustered along genome  REP_ORG=M. mulatta,CB309994,Mmu.4707.1.S1_at,,0.527996112
LOC694510,similar to myosin IB,XR_009863,MmuSTS.1744.1.S1_at,MYO1B,0.527663383
LOC707772,similar to nucleolar protein 4,XM_001102048,MmuSTS.2380.1.S1_at,NOL4,0.527568896
